1004293:0	1004293:0				Judging from previous posts this used to be a good place, but not any longer.
1004293:1	1004293:1				We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
1004293:2	1004293:2				They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
1004293:3	1004293:3				The food was lousy - too sweet or too salty and the portions tiny.
1004293:4	1004293:4				After all that, they complained to me about the small tip.
1004293:5	1004293:5				Avoid this place!
1014458:0	1014458:0				I have eaten at Saul, many times, the food is always consistently, outrageously good.
1014458:1	1014458:1				Saul is the best restaurant on Smith Street and in Brooklyn.
1014458:2	1014458:2				The duck confit is always amazing and the foie gras terrine with figs was out of this world.
1014458:3	1014458:3				The wine list is interesting and has many good values.
1014458:4	1014458:4				For the price, you cannot eat this well in Manhattan.
1016296:0	1016296:0				I was very disappointed with this restaurant.
1016296:1	1016296:1				Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
1016296:2	1016296:2				I had to ask her three times before she finally came back with the dish Ive requested.
1016296:3	1016296:3				Food was okay, nothing great.
1016296:4	1016296:4				Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
1016296:5	1016296:5				I/we will never go back to this place again.
1028246:0	1028246:0				Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
1028246:1	1028246:1				Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
1028246:2	1028246:2				You can't go wrong here.
1032695:0	1032695:0				Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
1032695:1	1032695:1				Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
1032695:2	1032695:2				I had the duck breast special on my last visit and it was incredible.
1032695:3	1032695:3				Can't wait wait for my next visit.
1041457:0	1041457:0				I had my eyes on this place, promising myself I will one day 'give it a try.' 
1041457:1	1041457:1				And I hate to say this but I doubt I'll ever go back. 
1041457:2	1041457:2				The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.
1041457:3	1041457:3				The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
1041457:4	1041457:4				I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
1041457:5	1041457:5				Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.
1041457:6	1041457:6				The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
1053543:0	1053543:0				We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.
1053543:1	1053543:1				What's the difference between the two?
1053543:2	1053543:2				Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!
1053543:3	1053543:3				The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
1053543:4	1053543:4				We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
1055910:0	1055910:0				we love th pink pony.
1055910:1	1055910:1				THe perfect spot.
1055910:2	1055910:2				Food-awesome.
1055910:3	1055910:3				Service- friendly and attentive.
1055910:4	1055910:4				Ambiance- relaxed and stylish.
1055910:5	1055910:5				Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
1058221:0	1058221:0				i have eaten here a handful of times, for no reason besides sheer convenience.
